Entry	Entry name	Protein names	Status	Gene names  (primary )
O60313	OPA1_HUMAN	Dynamin-like 120 kDa protein, mitochondrial (EC 3.6.5.5) (Optic atrophy protein 1) [Cleaved into: Dynamin-like 120 kDa protein, form S1]	reviewed	OPA1
P26038	MOES_HUMAN	Moesin (Membrane-organizing extension spike protein)	reviewed	MSN
Q9JK66	PRKN2_RAT	E3 ubiquitin-protein ligase parkin (EC 6.3.2.-)	reviewed	Park2
Q13158	FADD_HUMAN	FAS-associated death domain protein (FAS-associating death domain-containing protein) (Growth-inhibiting gene 3 protein) (Mediator of receptor induced toxicity) (Protein FADD)	reviewed	FADD
P62136	PP1A_HUMAN	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit (PP-1A) (EC 3.1.3.16)	reviewed	PPP1CA
P53355	DAPK1_HUMAN	Death-associated protein kinase 1 (DAP kinase 1) (EC 2.7.11.1)	reviewed	DAPK1
Q9H2K8	TAOK3_HUMAN	Serine/threonine-protein kinase TAO3 (EC 2.7.11.1) (Cutaneous T-cell lymphoma-associated antigen HD-CL-09) (CTCL-associated antigen HD-CL-09) (Dendritic cell-derived protein kinase) (JNK/SAPK-inhibitory kinase) (Jun kinase-inhibitory kinase) (Kinase from chicken homolog A) (hKFC-A) (Thousand and one amino acid protein 3)	reviewed	TAOK3
P31946	1433B_HUMAN	14-3-3 protein beta/alpha (Protein 1054) (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein beta/alpha, N-terminally processed]	reviewed	YWHAB
P62258	1433E_HUMAN	14-3-3 protein epsilon (14-3-3E)	reviewed	YWHAE
Q04917	1433F_HUMAN	14-3-3 protein eta (Protein AS1)	reviewed	YWHAH
P61981	1433G_HUMAN	14-3-3 protein gamma (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein gamma, N-terminally processed]	reviewed	YWHAG
P68254	1433T_MOUSE	14-3-3 protein theta (14-3-3 protein tau)	reviewed	Ywhaq
P62259	1433E_MOUSE	14-3-3 protein epsilon (14-3-3E)	reviewed	Ywhae
Q9CQV8	1433B_MOUSE	14-3-3 protein beta/alpha (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein beta/alpha, N-terminally processed]	reviewed	Ywhab
P68510	1433F_MOUSE	14-3-3 protein eta	reviewed	Ywhah
P61982	1433G_MOUSE	14-3-3 protein gamma [Cleaved into: 14-3-3 protein gamma, N-terminally processed]	reviewed	Ywhag
P61983	1433G_RAT	14-3-3 protein gamma [Cleaved into: 14-3-3 protein gamma, N-terminally processed]	reviewed	Ywhag
P63101	1433Z_MOUSE	14-3-3 protein zeta/delta (Protein kinase C inhibitor protein 1) (KCIP-1) (SEZ-2)	reviewed	Ywhaz
P27348	1433T_HUMAN	14-3-3 protein theta (14-3-3 protein T-cell) (14-3-3 protein tau) (Protein HS1)	reviewed	YWHAQ
P05141	ADT2_HUMAN	ADP/ATP translocase 2 (ADP,ATP carrier protein 2) (ADP,ATP carrier protein, fibroblast isoform) (Adenine nucleotide translocator 2) (ANT 2) (Solute carrier family 25 member 5) [Cleaved into: ADP/ATP translocase 2, N-terminally processed]	reviewed	SLC25A5
P12235	ADT1_HUMAN	ADP/ATP translocase 1 (ADP,ATP carrier protein 1) (ADP,ATP carrier protein, heart/skeletal muscle isoform T1) (Adenine nucleotide translocator 1) (ANT 1) (Solute carrier family 25 member 4)	reviewed	SLC25A4
P12236	ADT3_HUMAN	ADP/ATP translocase 3 (ADP,ATP carrier protein 3) (ADP,ATP carrier protein, isoform T2) (ANT 2) (Adenine nucleotide translocator 3) (ANT 3) (Solute carrier family 25 member 6) [Cleaved into: ADP/ATP translocase 3, N-terminally processed]	reviewed	SLC25A6
Q14155	ARHG7_HUMAN	Rho guanine nucleotide exchange factor 7 (Beta-Pix) (COOL-1) (PAK-interacting exchange factor beta) (p85)	reviewed	ARHGEF7
Q8N6T3	ARFG1_HUMAN	ADP-ribosylation factor GTPase-activating protein 1 (ARF GAP 1) (ADP-ribosylation factor 1 GTPase-activating protein) (ARF1 GAP) (ARF1-directed GTPase-activating protein)	reviewed	ARFGAP1
Q9EPJ9	ARFG1_MOUSE	ADP-ribosylation factor GTPase-activating protein 1 (ARF GAP 1) (ADP-ribosylation factor 1 GTPase-activating protein) (ARF1 GAP) (ARF1-directed GTPase-activating protein)	reviewed	Arfgap1
Q62848	ARFG1_RAT	ADP-ribosylation factor GTPase-activating protein 1 (ARF GAP 1) (ADP-ribosylation factor 1 GTPase-activating protein) (ARF1 GAP) (ARF1-directed GTPase-activating protein)	reviewed	Arfgap1
O95817	BAG3_HUMAN	BAG family molecular chaperone regulator 3 (BAG-3) (Bcl-2-associated athanogene 3) (Bcl-2-binding protein Bis) (Docking protein CAIR-1)	reviewed	BAG3
Q9UL15	BAG5_HUMAN	BAG family molecular chaperone regulator 5 (BAG-5) (Bcl-2-associated athanogene 5)	reviewed	BAG5
O95816	BAG2_HUMAN	BAG family molecular chaperone regulator 2 (BAG-2) (Bcl-2-associated athanogene 2)	reviewed	BAG2
Q16543	CDC37_HUMAN	Hsp90 co-chaperone Cdc37 (Hsp90 chaperone protein kinase-targeting subunit) (p50Cdc37) [Cleaved into: Hsp90 co-chaperone Cdc37, N-terminally processed]	reviewed	CDC37
Q92997	DVL3_HUMAN	Segment polarity protein dishevelled homolog DVL-3 (Dishevelled-3) (DSH homolog 3)	reviewed	DVL3
P39053	DYN1_MOUSE	Dynamin-1 (EC 3.6.5.5)	reviewed	Dnm1
Q8K1M6	DNM1L_MOUSE	Dynamin-1-like protein (EC 3.6.5.5) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-related protein 1)	reviewed	Dnm1l
O14640	DVL1_HUMAN	Segment polarity protein dishevelled homolog DVL-1 (Dishevelled-1) (DSH homolog 1)	reviewed	DVL1
Q05193	DYN1_HUMAN	Dynamin-1 (EC 3.6.5.5)	reviewed	DNM1
O14641	DVL2_HUMAN	Segment polarity protein dishevelled homolog DVL-2 (Dishevelled-2) (DSH homolog 2)	reviewed	DVL2
P30084	ECHM_HUMAN	Enoyl-CoA hydratase, mitochondrial (EC 4.2.1.17) (Enoyl-CoA hydratase 1) (Short-chain enoyl-CoA hydratase) (SCEH)	reviewed	ECHS1
Q9W596	FUTSC_DROME	Microtubule-associated protein futsch (MAP1B homolog) [Cleaved into: Futsch heavy chain; Futsch light chain LC(f)]	reviewed	futsch
Q8MVR1	GBPC_DICDI	Cyclic GMP-binding protein C (EC 2.7.11.1) (Ras guanine nucleotide exchange factor T) (RasGEF domain-containing protein T)	reviewed	gbpC
O14976	GAK_HUMAN	Cyclin-G-associated kinase (EC 2.7.11.1)	reviewed	GAK
P12369	KAP3_RAT	cAMP-dependent protein kinase type II-beta regulatory subunit	reviewed	Prkar2b
P31324	KAP3_MOUSE	cAMP-dependent protein kinase type II-beta regulatory subunit	reviewed	Prkar2b
P48729	KC1A_HUMAN	Casein kinase I isoform alpha (CKI-alpha) (EC 2.7.11.1) (CK1)	reviewed	CSNK1A1
P30275	KCRU_MOUSE	Creatine kinase U-type, mitochondrial (EC 2.7.3.2) (Acidic-type mitochondrial creatine kinase) (Mia-CK) (Ubiquitous mitochondrial creatine kinase) (U-MtCK)	reviewed	Ckmt1
Q58A65	JIP4_MOUSE	C-Jun-amino-terminal kinase-interacting protein 4 (JIP-4) (JNK-interacting protein 4) (JNK-associated leucine-zipper protein) (JLP) (JNK/SAPK-associated protein 2) (JSAP2) (Mitogen-activated protein kinase 8-interacting protein 4) (Sperm-associated antigen 9)	reviewed	Spag9
P07195	LDHB_HUMAN	L-lactate dehydrogenase B chain (LDH-B) (EC 1.1.1.27) (LDH heart subunit) (LDH-H) (Renal carcinoma antigen NY-REN-46)	reviewed	LDHB
P46821	MAP1B_HUMAN	Microtubule-associated protein 1B (MAP-1B) [Cleaved into: MAP1B heavy chain; MAP1 light chain LC1]	reviewed	MAP1B
Q38SD2	LRRK1_HUMAN	Leucine-rich repeat serine/threonine-protein kinase 1 (EC 2.7.11.1)	reviewed	LRRK1
P02687	MBP_BOVIN	Myelin basic protein (MBP) (20 kDa microtubule-stabilizing protein) (Myelin A1 protein)	reviewed	MBP
Q811U4	MFN1_MOUSE	Mitofusin-1 (EC 3.6.5.-) (Transmembrane GTPase MFN1)	reviewed	Mfn1
P42679	MATK_HUMAN	Megakaryocyte-associated tyrosine-protein kinase (EC 2.7.10.2) (CSK homologous kinase) (CHK) (Hematopoietic consensus tyrosine-lacking kinase) (Protein kinase HYL) (Tyrosine-protein kinase CTK)	reviewed	MATK
O95140	MFN2_HUMAN	Mitofusin-2 (EC 3.6.5.-) (Transmembrane GTPase MFN2)	reviewed	MFN2
P52564	MP2K6_HUMAN	Dual specificity mitogen-activated protein kinase kinase 6 (MAP kinase kinase 6) (MAPKK 6) (EC 2.7.12.2) (MAPK/ERK kinase 6) (MEK 6) (Stress-activated protein kinase kinase 3) (SAPK kinase 3) (SAPKK-3) (SAPKK3)	reviewed	MAP2K6
P46734	MP2K3_HUMAN	Dual specificity mitogen-activated protein kinase kinase 3 (MAP kinase kinase 3) (MAPKK 3) (EC 2.7.12.2) (MAPK/ERK kinase 3) (MEK 3) (Stress-activated protein kinase kinase 2) (SAPK kinase 2) (SAPKK-2) (SAPKK2)	reviewed	MAP2K3
O14733	MP2K7_HUMAN	Dual specificity mitogen-activated protein kinase kinase 7 (MAP kinase kinase 7) (MAPKK 7) (EC 2.7.12.2) (JNK-activating kinase 2) (MAPK/ERK kinase 7) (MEK 7) (Stress-activated protein kinase kinase 4) (SAPK kinase 4) (SAPKK-4) (SAPKK4) (c-Jun N-terminal kinase kinase 2) (JNK kinase 2) (JNKK 2)	reviewed	MAP2K7
Q96PY6	NEK1_HUMAN	Serine/threonine-protein kinase Nek1 (EC 2.7.11.1) (Never in mitosis A-related kinase 1) (NimA-related protein kinase 1) (Renal carcinoma antigen NY-REN-55)	reviewed	NEK1
Q13469	NFAC2_HUMAN	Nuclear factor of activated T-cells, cytoplasmic 2 (NF-ATc2) (NFATc2) (NFAT pre-existing subunit) (NF-ATp) (T-cell transcription factor NFAT1)	reviewed	NFATC2
P46460	NSF_MOUSE	Vesicle-fusing ATPase (EC 3.6.4.6) (N-ethylmaleimide-sensitive fusion protein) (NEM-sensitive fusion protein) (Suppressor of K(+) transport growth defect 2) (Protein SKD2) (Vesicular-fusion protein NSF)	reviewed	Nsf
Q8WUM0	NU133_HUMAN	Nuclear pore complex protein Nup133 (133 kDa nucleoporin) (Nucleoporin Nup133)	reviewed	NUP133
Q9NQU5	PAK6_HUMAN	Serine/threonine-protein kinase PAK 6 (EC 2.7.11.1) (PAK-5) (p21-activated kinase 6) (PAK-6)	reviewed	PAK6
P35705	PRDX3_BOVIN	Thioredoxin-dependent peroxide reductase, mitochondrial (EC 1.11.1.15) (Antioxidant protein 1) (AOP-1) (Peroxiredoxin-3) (Protein SP-22)	reviewed	PRDX3
Q9Z0V6	PRDX3_RAT	Thioredoxin-dependent peroxide reductase, mitochondrial (EC 1.11.1.15) (PRx III) (Peroxiredoxin-3) (PRX-3)	reviewed	Prdx3
P00634	PPB_ECOLI	Alkaline phosphatase (APase) (EC 3.1.3.1)	reviewed	phoA
Q5REY3	PRDX3_PONAB	Thioredoxin-dependent peroxide reductase, mitochondrial (EC 1.11.1.15) (Peroxiredoxin-3)	reviewed	PRDX3
P20108	PRDX3_MOUSE	Thioredoxin-dependent peroxide reductase, mitochondrial (EC 1.11.1.15) (Antioxidant protein 1) (AOP-1) (PRX III) (Perioredoxin-3) (Protein MER5)	reviewed	Prdx3
P61020	RAB5B_HUMAN	Ras-related protein Rab-5B	reviewed	RAB5B
O14966	RAB7L_HUMAN	Ras-related protein Rab-7L1 (Rab-7-like protein 1) (Ras-related protein Rab-29)	reviewed	RAB29
Q91YQ1	RAB7L_MOUSE	Ras-related protein Rab-7L1 (Rab-7-like protein 1)	reviewed	Rab29
Q13637	RAB32_HUMAN	Ras-related protein Rab-32	reviewed	RAB32
P61021	RAB5B_MOUSE	Ras-related protein Rab-5B	reviewed	Rab5b
Q5R7A4	RAB7L_PONAB	Ras-related protein Rab-7L1 (Rab-7-like protein 1)	reviewed	RAB29
Q63481	RAB7L_RAT	Ras-related protein Rab-7L1 (Rab-7-like protein 1) (Ras-related protein Rab-29)	reviewed	Rab29
P41220	RGS2_HUMAN	Regulator of G-protein signaling 2 (RGS2) (Cell growth-inhibiting gene 31 protein) (G0/G1 switch regulatory protein 8)	reviewed	RGS2
P26373	RL13_HUMAN	60S ribosomal protein L13 (Breast basic conserved protein 1)	reviewed	RPL13
P62906	RL10A_HUMAN	60S ribosomal protein L10a (CSA-19) (Neural precursor cell expressed developmentally down-regulated protein 6) (NEDD-6)	reviewed	RPL10A
P50914	RL14_HUMAN	60S ribosomal protein L14 (CAG-ISL 7)	reviewed	RPL14
P62750	RL23A_HUMAN	60S ribosomal protein L23a	reviewed	RPL23A
P62280	RS11_HUMAN	40S ribosomal protein S11	reviewed	RPS11
P62249	RS16_HUMAN	40S ribosomal protein S16	reviewed	RPS16
P60866	RS20_HUMAN	40S ribosomal protein S20	reviewed	RPS20
P42677	RS27_HUMAN	40S ribosomal protein S27 (Metallopan-stimulin 1) (MPS-1)	reviewed	RPS27
P62266	RS23_HUMAN	40S ribosomal protein S23	reviewed	RPS23
P62841	RS15_HUMAN	40S ribosomal protein S15 (RIG protein)	reviewed	RPS15
P15880	RS2_HUMAN	40S ribosomal protein S2 (40S ribosomal protein S4) (Protein LLRep3)	reviewed	RPS2
P05060	SCG1_HUMAN	Secretogranin-1 (Chromogranin-B) (CgB) (Secretogranin I) (SgI) [Cleaved into: PE-11; GAWK peptide; CCB peptide]	reviewed	CHGB
O15027	SC16A_HUMAN	Protein transport protein Sec16A (SEC16 homolog A)	reviewed	SEC16A
Q99962	SH3G2_HUMAN	Endophilin-A1 (EEN-B1) (Endophilin-1) (SH3 domain protein 2A) (SH3 domain-containing GRB2-like protein 2)	reviewed	SH3GL2
O95295	SNAPN_HUMAN	SNARE-associated protein Snapin (Biogenesis of lysosome-related organelles complex 1 subunit 7) (BLOC-1 subunit 7) (Synaptosomal-associated protein 25-binding protein) (SNAP-associated protein)	reviewed	SNAPIN
Q7L7X3	TAOK1_HUMAN	Serine/threonine-protein kinase TAO1 (EC 2.7.11.1) (Kinase from chicken homolog B) (hKFC-B) (MARK Kinase) (MARKK) (Prostate-derived sterile 20-like kinase 2) (PSK-2) (PSK2) (Prostate-derived STE20-like kinase 2) (Thousand and one amino acid protein kinase 1) (TAOK1) (hTAOK1)	reviewed	TAOK1
Q5F2E8	TAOK1_MOUSE	Serine/threonine-protein kinase TAO1 (EC 2.7.11.1) (Thousand and one amino acid protein 1)	reviewed	Taok1
Q5R4F3	TAOK3_PONAB	Serine/threonine-protein kinase TAO3 (EC 2.7.11.1) (Thousand and one amino acid protein 3)	reviewed	TAOK3
P07437	TBB5_HUMAN	Tubulin beta chain (Tubulin beta-5 chain)	reviewed	TUBB
O88664	TAOK1_RAT	Serine/threonine-protein kinase TAO1 (EC 2.7.11.1) (Thousand and one amino acid protein 1)	reviewed	Taok1
Q53UA7	TAOK3_RAT	Serine/threonine-protein kinase TAO3 (EC 2.7.11.1) (Axotomy-related gene 357 protein) (JNK/SAPK-inhibitory kinase) (Jun kinase-inhibitory kinase) (Thousand and one amino acid protein 3)	reviewed	Taok3
Q8BYC6	TAOK3_MOUSE	Serine/threonine-protein kinase TAO3 (EC 2.7.11.1) (Thousand and one amino acid protein 3)	reviewed	Taok3
P04350	TBB4A_HUMAN	Tubulin beta-4A chain (Tubulin 5 beta) (Tubulin beta-4 chain)	reviewed	TUBB4A
Q8BWC0	TPC2_MOUSE	Two pore calcium channel protein 2 (Voltage-dependent calcium channel protein TPC2)	reviewed	Tpcn2
Q8NHX9	TPC2_HUMAN	Two pore calcium channel protein 2 (Voltage-dependent calcium channel protein TPC2)	reviewed	TPCN2
Q96QK1	VPS35_HUMAN	Vacuolar protein sorting-associated protein 35 (hVPS35) (Maternal-embryonic 3) (Vesicle protein sorting 35)	reviewed	VPS35
Q2HJG5	VPS35_BOVIN	Vacuolar protein sorting-associated protein 35 (Vesicle protein sorting 35)	reviewed	VPS35
Q9EQH3	VPS35_MOUSE	Vacuolar protein sorting-associated protein 35 (Maternal-embryonic 3) (Vesicle protein sorting 35)	reviewed	Vps35
Q9Y4P8	WIPI2_HUMAN	WD repeat domain phosphoinositide-interacting protein 2 (WIPI-2) (WIPI49-like protein 2)	reviewed	WIPI2
