Entry	Entry name	Protein names	Status	Gene names  (primary )
Q5DU52	Q5DU52_MOUSE	MFLJ00387 protein (Fragment)	unreviewed	Pink1
Q6IS31	Q6IS31_MOUSE	Pink1 protein (Fragment)	unreviewed	Pink1
Q3U258	Q3U258_MOUSE	Putative uncharacterized protein	unreviewed	Pink1
Q5PRB2	Q5PRB2_DANRE	PTEN induced putative kinase 1 (Pink1 protein)	unreviewed	pink1
A0A0S7KPJ1	A0A0S7KPJ1_9TELE	PINK1	unreviewed	PINK1
H3BE17	H3BE17_LATCH	Uncharacterized protein	unreviewed	PINK1
B5X237	B5X237_SALSA	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	PINK1
H2MMT9	H2MMT9_ORYLA	Uncharacterized protein	unreviewed	pink1
U3K7I4	U3K7I4_FICAL	Uncharacterized protein	unreviewed	PINK1
I3KII5	I3KII5_ORENI	Uncharacterized protein	unreviewed	pink1
F1QTR3	F1QTR3_DANRE	Uncharacterized protein	unreviewed	pink1
B5TXD9	B5TXD9_DANRE	PTEN-induced putative kinase 1	unreviewed	pink1
B5DFT6	B5DFT6_DANRE	PTEN induced putative kinase 1	unreviewed	pink1
U3IJA2	U3IJA2_ANAPL	Uncharacterized protein	unreviewed	PINK1
A0A0S7KQQ9	A0A0S7KQQ9_9TELE	PINK1 (Fragment)	unreviewed	PINK1
A4GRC2	A4GRC2_CARAU	PTEN induced kinase 1-like protein (Fragment)	unreviewed	PINK1
A0A151MJ81	A0A151MJ81_ALLMI	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	PINK1
H2T6D7	H2T6D7_TAKRU	Uncharacterized protein	unreviewed	pink1
H2T6D8	H2T6D8_TAKRU	Uncharacterized protein	unreviewed	pink1
G1N1L4	G1N1L4_MELGA	Uncharacterized protein (Fragment)	unreviewed	PINK1
